task_type,sleep_hours,energy_level,day_of_week,hour_of_day,description_len,minutes
programming,5.9,9,0,18,98,125
programming,7.3,4,2,11,71,106
programming,7.7,10,5,11,39,90
programming,7.3,10,0,14,149,118
planning,5.5,4,1,17,76,45
creative,7.3,6,6,17,55,64
admin,9.2,8,5,19,52,34
creative,7.7,9,4,8,192,91
creative,8.4,1,5,19,54,91
programming,6.6,1,2,13,197,168
creative,8.1,8,0,15,89,67
meeting,7.4,7,4,13,41,60
creative,5.6,9,2,18,17,91
creative,7.5,3,1,11,122,76
programming,5.5,10,5,19,71,130
programming,6.1,5,6,12,29,114
programming,7.3,3,4,10,155,128
meeting,7.4,5,6,20,110,72
creative,5.2,10,0,18,15,91
creative,8.6,1,0,13,93,83
programming,7.9,4,1,7,117,122
meeting,5.9,6,2,10,166,75
meeting,4.7,2,4,9,13,64
programming,6.8,7,1,19,80,105
programming,6.3,8,2,10,180,112
programming,7.2,1,3,7,93,134
planning,6.5,4,3,18,171,63
programming,4.0,4,2,19,109,141
meeting,6.4,5,0,8,80,69
admin,6.5,4,0,18,42,19
meeting,8.0,9,3,17,152,82
planning,6.0,7,0,19,129,59
planning,9.5,2,6,15,177,72
programming,4.1,1,0,21,102,199
meeting,9.0,9,2,13,142,75
programming,6.7,1,5,19,187,144
programming,8.3,6,2,12,108,119
programming,7.1,2,0,8,75,126
admin,8.7,4,2,7,63,29
meeting,6.4,6,4,8,183,83
programming,5.4,5,3,13,89,128
programming,9.1,6,5,8,148,118
planning,6.8,3,4,9,133,60
programming,7.3,5,4,14,186,142
programming,8.9,2,0,13,160,124
meeting,5.5,7,0,18,64,72
planning,7.9,3,4,17,14,35
programming,6.1,1,4,17,44,141
admin,6.8,8,1,20,102,59
creative,7.1,8,1,17,128,89
programming,4.7,3,6,15,63,141
admin,5.8,7,3,18,12,35
meeting,9.0,9,4,10,15,50
admin,8.3,8,2,13,96,47
admin,6.9,3,5,7,119,43
meeting,7.4,2,1,17,65,62
programming,6.6,10,0,17,11,93
creative,9.0,7,4,8,91,75
programming,6.7,7,2,13,103,117
programming,7.3,9,5,21,175,149
programming,8.7,5,2,8,193,129
admin,5.8,4,6,12,14,31
admin,9.3,8,2,19,183,52
programming,4.7,4,0,16,148,149
meeting,9.4,4,1,18,147,80
programming,6.4,2,2,15,50,119
admin,6.6,1,5,17,125,57
programming,4.2,4,1,11,53,113
admin,6.3,7,6,16,99,52
meeting,5.4,9,6,13,42,63
planning,6.1,9,3,19,65,47
programming,6.8,10,0,7,149,111
programming,8.4,1,1,14,11,115
programming,7.3,5,6,15,10,98
planning,7.5,7,6,21,130,64
creative,5.4,7,1,19,134,96
programming,5.7,10,2,11,42,106
admin,9.7,6,5,12,112,47
creative,5.9,10,2,19,45,82
admin,9.5,4,5,17,158,60
meeting,6.6,3,6,14,93,66
programming,7.0,9,6,10,173,112
programming,8.6,10,0,8,35,100
creative,8.9,4,1,21,184,117
planning,6.8,8,4,16,138,62
admin,6.4,1,6,14,175,48
programming,6.9,7,5,8,151,115
programming,7.5,6,5,11,99,99
admin,8.3,1,2,21,55,26
creative,7.0,4,2,19,51,79
creative,7.9,5,6,12,144,86
creative,9.5,8,6,11,64,57
admin,7.6,4,3,12,65,29
programming,7.5,3,5,12,127,127
programming,4.7,2,0,9,85,118
creative,3.1,4,1,17,72,96
admin,7.6,10,1,17,161,48
programming,6.9,4,1,9,92,105
programming,6.2,10,5,15,108,120
admin,7.4,5,2,9,141,55
programming,6.9,7,0,9,51,103
programming,8.7,9,1,17,105,104
meeting,7.1,2,5,20,119,82
admin,5.9,5,4,8,79,34
admin,8.5,10,6,13,37,36
programming,6.7,9,3,16,135,107
admin,7.8,3,3,16,101,41
programming,6.3,1,1,10,49,114
programming,6.0,2,2,7,188,163
admin,7.1,6,3,12,166,59
admin,7.0,5,3,11,51,16
creative,7.7,1,3,20,127,124
admin,6.6,1,3,17,14,11
admin,4.2,4,1,8,110,52
programming,6.4,4,5,12,178,145
meeting,8.2,6,0,7,70,71
programming,6.6,6,0,9,192,125
programming,6.6,10,2,10,165,112
planning,8.5,6,5,19,50,31
meeting,5.9,1,6,9,120,89
creative,4.7,10,4,21,18,112
admin,6.8,9,0,19,166,48
creative,6.3,7,4,12,175,100
meeting,5.6,7,0,17,71,78
admin,6.7,7,0,10,63,37
meeting,7.7,2,2,20,189,99
programming,7.0,2,3,7,113,126
admin,7.5,6,2,11,135,36
programming,9.7,7,0,11,43,95
programming,6.5,3,5,15,174,139
admin,7.4,4,3,14,186,52
programming,6.2,3,5,21,51,155
planning,5.7,7,5,14,23,40
planning,6.1,7,5,11,42,41
planning,6.3,4,3,14,127,56
meeting,7.5,7,5,20,107,75
programming,10.0,5,3,16,101,102
planning,5.9,1,4,13,109,67
meeting,6.4,10,6,7,96,69
planning,6.9,4,0,18,154,64
planning,7.6,7,1,13,133,47
creative,7.4,2,5,17,41,85
programming,8.9,2,2,14,110,126
meeting,3.4,1,4,9,48,80
creative,3.4,2,2,15,103,116
programming,6.3,10,1,14,19,108
programming,8.6,8,3,8,161,104
admin,4.7,8,1,12,109,54
planning,3.0,8,2,10,67,38
admin,7.9,1,1,9,110,49
admin,7.4,1,0,17,73,38
programming,5.4,10,1,12,28,101
admin,5.5,4,5,16,110,44
planning,5.5,6,0,19,126,47
programming,7.2,8,5,21,145,155
meeting,6.1,2,6,15,80,70
creative,7.7,3,6,8,49,68
admin,3.0,6,1,16,22,37
admin,5.7,10,0,16,110,43
admin,5.3,4,0,16,133,54
meeting,6.6,2,6,11,164,79
programming,6.2,7,1,12,91,129
creative,8.2,4,4,10,97,70
creative,4.2,8,3,13,114,86
creative,7.1,8,3,8,139,81
planning,7.8,7,3,13,25,38
meeting,9.8,10,0,8,23,44
meeting,6.3,9,6,7,137,86
creative,7.5,4,3,17,154,84
admin,4.3,7,6,11,69,43
admin,3.4,10,0,8,26,29
creative,8.3,10,6,14,54,80
creative,7.0,1,4,18,47,90
programming,8.8,4,1,18,133,120
meeting,4.9,2,6,18,113,90
programming,7.8,9,6,14,73,115
admin,9.8,5,1,7,130,43
programming,7.6,3,0,10,15,77
meeting,7.4,4,0,20,197,107
meeting,7.0,6,6,15,121,68
programming,4.6,10,4,11,111,141
admin,9.0,1,3,18,58,30
programming,6.1,7,4,17,30,106
programming,7.8,8,1,16,32,103
creative,4.7,7,1,19,85,97
meeting,5.2,7,5,12,194,93
programming,9.2,9,3,9,73,88
meeting,6.5,4,6,11,166,67
creative,9.2,7,1,20,36,76
programming,6.9,9,5,18,143,112
admin,4.2,5,0,19,158,71
programming,8.3,2,1,19,80,110
programming,6.1,5,2,19,116,122
meeting,8.0,4,3,7,178,85
meeting,7.0,8,5,14,142,74
admin,4.7,5,3,17,152,48
admin,7.2,9,3,21,158,54
planning,10.0,9,2,12,67,37
meeting,7.7,3,4,18,141,74
programming,6.9,10,0,8,144,127
creative,8.6,6,3,10,44,52
programming,7.3,6,1,10,173,123
meeting,7.3,4,0,15,130,74
programming,5.4,10,1,15,152,132
programming,7.4,3,0,11,139,114
planning,8.6,1,6,18,129,69
creative,5.7,7,0,9,194,104
admin,9.1,5,5,7,14,24
meeting,6.9,10,1,12,80,59
programming,5.7,7,1,14,95,128
programming,8.5,1,6,7,104,127
programming,6.6,8,0,17,169,145
meeting,8.1,3,3,7,50,58
admin,6.6,7,1,21,179,74
admin,6.9,3,6,17,84,41
programming,7.7,3,2,13,177,125
planning,7.4,10,2,13,92,74
admin,4.0,9,0,8,47,23
admin,5.3,2,4,9,51,18
admin,8.4,4,0,8,174,36
meeting,6.8,6,6,12,65,83
programming,6.2,3,0,19,80,145
meeting,5.0,10,3,19,64,69
creative,5.4,10,3,14,191,110
programming,4.0,7,5,14,31,127
programming,6.8,7,6,21,36,115
programming,6.1,5,4,7,114,136
programming,5.6,3,6,17,184,162
creative,6.9,2,6,15,47,74
admin,7.5,4,4,17,121,46
meeting,10.0,4,6,14,48,55
programming,4.7,8,4,15,152,139
meeting,8.7,8,4,19,128,63
meeting,8.5,5,4,20,198,91
programming,5.8,6,6,19,69,114
meeting,7.3,8,6,15,145,82
meeting,6.3,1,0,17,53,71
admin,7.3,5,6,18,52,25
admin,9.3,4,0,12,143,47
programming,7.9,4,5,9,164,112
meeting,7.8,2,2,7,182,84
admin,6.4,10,2,17,32,34
meeting,4.8,1,5,14,131,89
creative,6.7,6,5,16,150,89
admin,8.8,7,1,9,93,23
programming,4.7,5,0,19,115,134
programming,5.4,8,4,13,73,132
admin,7.2,9,1,19,162,49
programming,5.5,2,3,16,134,144
admin,5.8,4,0,12,61,30
planning,6.4,9,6,9,57,26
admin,5.0,5,5,12,70,47
meeting,5.5,3,2,18,26,68
admin,8.1,6,0,9,49,33
meeting,5.0,3,5,19,84,78
meeting,4.6,5,0,21,98,83
planning,6.1,3,6,19,78,50
meeting,8.1,6,0,20,94,69
planning,6.7,10,6,15,35,36
planning,6.3,5,0,19,193,66
programming,7.1,9,3,7,49,114
programming,4.4,3,2,19,105,163
programming,7.7,6,0,14,126,108
programming,7.6,8,5,11,145,107
programming,6.4,7,3,21,82,144
admin,8.5,6,1,10,54,19
programming,5.3,2,0,7,26,131
programming,8.7,7,6,15,178,125
creative,7.2,8,3,19,86,79
programming,6.5,1,4,15,146,152
creative,7.0,9,1,19,100,83
programming,6.8,4,2,11,115,89
programming,8.8,8,0,20,110,125
admin,5.4,10,0,17,112,56
admin,5.9,7,3,15,33,34
creative,8.6,10,2,21,82,67
admin,6.1,7,4,16,130,34
creative,8.4,2,1,20,115,113
programming,9.5,1,5,15,148,130
programming,6.4,4,2,13,44,93
creative,8.0,2,0,14,166,107
creative,5.3,8,3,7,145,105
planning,8.1,10,4,10,26,24
meeting,7.3,7,3,16,149,84
meeting,7.7,8,1,16,102,58
creative,6.0,6,6,21,118,103
programming,4.5,1,6,10,59,128
planning,7.8,9,2,18,123,38
creative,3.9,6,3,15,33,89
meeting,6.5,10,5,9,46,57
creative,8.4,1,5,21,20,90
creative,7.3,1,6,18,108,101
programming,9.9,8,6,16,196,113
planning,8.5,6,3,21,64,55
meeting,6.0,8,0,16,36,61
creative,7.0,8,3,7,76,73
programming,6.9,8,4,21,197,161
creative,4.6,10,2,17,11,71
meeting,5.6,7,1,11,77,70
programming,6.2,7,5,13,155,135
planning,3.9,10,3,18,157,71
programming,7.1,4,4,10,72,99
programming,6.6,9,6,15,81,121
planning,4.5,2,5,12,139,79
planning,7.6,9,5,12,92,60
admin,8.1,10,1,9,51,22
admin,7.3,3,5,16,165,59
meeting,6.5,2,4,16,166,99
programming,7.9,4,5,11,116,103
programming,8.0,5,5,16,37,108
admin,7.5,2,3,12,197,61
creative,5.8,1,3,20,114,118
creative,7.4,10,6,10,121,71
creative,8.8,5,2,19,142,74
programming,6.1,9,0,9,24,95
meeting,10.0,5,4,11,119,60
programming,6.2,10,0,13,82,119
meeting,7.0,9,0,17,169,90
meeting,6.0,10,5,12,189,86
creative,7.3,6,6,8,99,79
meeting,4.4,3,1,7,46,70
programming,6.2,4,1,11,152,108
programming,5.4,4,5,11,178,138
creative,7.2,1,6,18,13,78
admin,8.5,3,4,18,190,57
programming,8.0,3,0,12,93,114
programming,3.4,1,2,9,164,160
admin,10.0,9,6,7,158,38
programming,7.4,1,0,21,69,153
creative,5.8,9,1,10,95,74
admin,7.2,1,0,10,80,37
programming,7.3,2,3,16,184,135
programming,6.0,2,3,8,191,158
planning,7.3,6,2,20,40,47
meeting,6.1,7,4,14,26,46
meeting,6.4,1,0,12,187,102
creative,6.0,3,3,18,16,75
planning,4.9,2,4,9,135,59
planning,7.2,8,6,21,92,63
creative,7.9,9,6,7,37,76
meeting,7.8,2,3,18,19,52
programming,8.2,2,4,17,36,111
creative,7.5,10,4,9,150,87
admin,6.2,9,3,14,197,68
meeting,8.3,4,5,10,136,67
planning,5.0,5,1,9,52,46
programming,5.6,9,4,19,78,114
meeting,5.6,6,6,17,72,55
programming,8.6,10,5,10,79,98
meeting,8.4,9,0,17,108,58
programming,7.7,9,5,21,191,142
programming,8.6,7,3,10,173,115
programming,5.7,10,5,8,80,120
admin,7.5,9,1,10,102,38
admin,6.8,5,3,17,152,39
admin,8.3,5,2,18,155,41
planning,6.8,8,0,15,141,71
meeting,6.4,10,6,10,20,43
programming,7.8,4,2,18,143,120
creative,8.3,9,5,7,131,85
programming,6.0,7,4,7,188,130
planning,6.9,7,5,7,195,79
programming,5.4,3,6,20,197,185
planning,3.3,4,6,11,27,41
programming,7.3,7,4,12,76,117
creative,7.9,5,2,18,154,95
meeting,7.4,3,2,12,106,87
planning,4.1,1,4,12,43,52
programming,6.5,7,1,15,167,149
admin,3.7,6,0,7,156,60
planning,9.1,10,3,16,146,70
meeting,5.4,7,2,12,177,94
admin,8.9,2,0,19,53,27
admin,8.4,4,3,14,104,33
meeting,5.6,2,5,14,196,82
admin,5.3,8,3,18,100,26
admin,7.5,7,2,21,120,43
planning,5.7,1,1,21,162,92
programming,7.2,2,1,9,80,108
programming,6.3,2,0,19,62,124
planning,4.3,4,5,11,185,75
creative,3.7,3,0,16,80,96
meeting,7.3,1,4,10,62,76
admin,6.2,2,1,18,117,45
programming,6.2,9,0,7,186,144
programming,8.0,1,4,15,180,139
meeting,8.8,9,5,11,28,45
meeting,6.6,7,6,8,75,73
admin,6.5,2,3,18,171,58
programming,7.8,2,0,8,191,152
planning,5.0,5,4,17,10,33
planning,7.3,5,1,13,115,42
admin,7.8,4,3,10,64,16
meeting,8.0,10,0,7,24,59
programming,4.1,10,1,11,136,136
creative,5.9,3,6,8,24,80
admin,5.7,4,3,21,130,57
programming,7.1,10,2,13,160,133
planning,7.7,4,1,21,75,52
creative,9.2,2,2,15,183,88
planning,6.3,5,5,19,123,42
admin,6.3,5,0,7,146,40
admin,8.7,5,6,18,155,49
meeting,7.4,10,4,8,154,67
planning,8.9,1,0,17,81,59
creative,7.4,6,1,12,107,72
programming,5.3,2,2,14,171,151
programming,5.0,7,2,13,53,107
meeting,4.7,4,3,15,166,86
creative,8.0,5,0,20,199,111
planning,8.8,5,0,8,25,43
programming,9.8,5,1,18,87,107
admin,8.3,2,2,15,61,40
meeting,8.7,5,1,10,11,50
planning,6.1,3,1,17,70,54
creative,5.3,4,5,21,141,114
creative,8.3,2,2,9,135,88
meeting,7.6,4,1,13,61,72
meeting,7.2,9,2,11,50,49
programming,7.6,8,1,19,189,131
programming,7.5,3,4,11,40,102
creative,8.9,1,1,18,163,98
creative,8.9,1,1,19,164,109
planning,7.8,6,6,8,130,51
planning,8.3,3,4,12,60,47
admin,7.8,4,0,12,104,38
creative,6.3,1,2,18,185,115
planning,8.1,8,6,10,20,37
creative,4.9,1,3,11,145,90
programming,8.6,5,4,13,21,99
meeting,5.2,6,6,20,108,94
programming,7.4,2,0,14,54,113
planning,5.7,7,1,12,43,43
admin,7.8,7,5,11,81,25
programming,6.9,1,0,18,184,144
admin,4.6,4,4,9,30,31
admin,7.6,4,5,13,50,52
meeting,6.1,5,1,14,31,63
programming,8.3,1,0,9,30,94
admin,7.0,1,3,11,165,59
meeting,7.6,7,2,17,80,66
creative,5.6,9,2,8,23,62
meeting,6.1,1,4,16,88,75
creative,6.3,2,6,16,82,92
admin,8.3,6,1,18,61,32
admin,9.5,6,1,10,180,50
creative,5.8,2,2,18,85,98
meeting,8.6,9,0,10,28,37
programming,3.7,4,1,18,36,131
programming,5.2,7,3,19,155,136
creative,5.6,6,3,14,22,85
admin,5.0,3,1,9,116,39
admin,4.6,8,1,11,138,45
programming,7.6,7,2,17,94,107
programming,6.7,9,4,11,171,131
programming,7.6,3,2,8,150,135
meeting,8.0,1,4,15,118,68
admin,7.4,2,3,10,124,47
meeting,8.0,1,4,15,60,57
meeting,6.9,5,2,15,10,53
planning,5.2,10,1,8,130,71
programming,8.6,2,4,15,165,118
meeting,6.1,3,2,15,132,73
creative,5.6,8,3,8,41,80
meeting,6.7,10,5,17,192,81
admin,5.6,5,4,19,163,55
creative,6.4,4,3,12,151,98
planning,7.5,5,3,15,102,36
programming,7.5,10,0,10,77,101
planning,5.7,6,5,8,72,38
meeting,6.3,7,4,13,91,69
programming,8.6,9,2,21,151,136
meeting,7.7,1,4,15,164,104
planning,10.0,4,4,12,50,40
meeting,8.8,9,5,17,12,50
programming,8.7,5,6,17,103,113
admin,4.9,8,3,20,68,46
programming,8.1,1,3,10,160,124
programming,6.9,4,3,7,27,100
programming,6.2,9,3,10,113,110
programming,7.3,1,5,9,83,101
programming,8.4,1,2,13,129,135
programming,7.8,4,1,17,85,135
admin,5.7,3,0,19,178,60
programming,8.1,7,6,17,17,96
programming,6.0,3,6,16,169,132
creative,7.3,1,3,11,90,76
meeting,6.5,10,3,18,178,89
admin,6.7,2,0,9,182,44
programming,8.1,10,3,20,110,126
programming,5.4,4,1,8,18,122
programming,9.9,1,6,19,99,132
programming,4.3,1,4,8,57,150
programming,6.1,8,0,11,124,115
programming,7.6,7,6,19,161,123
programming,7.9,8,2,19,96,98
programming,6.8,4,6,14,104,121
meeting,6.9,6,0,14,181,83
programming,7.6,3,1,20,195,162
meeting,6.7,8,5,18,123,57
meeting,9.1,4,2,11,27,59
admin,8.3,3,4,19,38,20
programming,8.3,4,3,8,11,97
creative,5.6,6,0,19,87,90
admin,6.9,7,2,10,77,29
programming,6.5,7,0,13,107,122
creative,5.5,4,4,20,126,111
planning,7.5,8,0,12,119,70
programming,6.2,7,6,16,176,133
programming,8.0,2,6,13,50,120
creative,5.4,8,2,11,124,77
admin,9.6,9,1,8,90,42
programming,5.7,5,5,14,131,125
programming,7.3,4,2,20,96,131
meeting,8.2,4,0,18,31,44
meeting,6.1,4,4,8,58,58
admin,8.3,6,6,18,165,51
meeting,5.2,4,3,14,25,86
meeting,9.2,7,3,21,77,92
admin,7.0,7,4,13,199,55
programming,6.1,5,0,9,173,130
programming,6.6,5,5,19,31,96
admin,8.2,10,4,10,148,27
creative,6.1,8,0,19,94,86
meeting,5.9,7,2,13,130,80
meeting,6.7,7,5,10,89,66
programming,5.2,6,1,15,179,151
meeting,9.7,7,0,13,64,54
meeting,6.2,7,3,7,44,60
programming,8.2,10,3,7,194,131
programming,7.3,2,6,21,43,154
meeting,5.5,10,5,10,82,55
programming,7.0,2,1,20,86,157
programming,8.2,10,0,20,141,143
programming,6.7,7,1,19,183,133
programming,8.8,10,6,15,134,109
programming,8.5,7,2,19,20,94
creative,8.4,7,1,10,70,70
admin,6.3,5,2,19,131,40
admin,5.4,1,3,11,44,24
creative,6.1,2,2,7,78,110
meeting,7.3,9,0,21,66,73
programming,7.8,8,5,20,148,148
meeting,3.7,8,5,8,21,66
admin,7.0,10,0,17,134,54
admin,7.2,1,0,10,52,32
meeting,6.6,6,0,18,156,83
programming,8.9,9,4,10,86,86
programming,7.6,8,6,17,77,92
meeting,9.0,3,2,16,68,58
admin,6.7,4,0,12,11,14
admin,8.4,3,5,19,145,31
meeting,9.5,6,1,12,159,76
planning,9.0,9,1,14,30,21
admin,5.4,8,4,18,166,62
programming,6.6,10,2,19,110,131
programming,6.5,4,2,15,95,112
programming,7.7,2,6,20,131,158
programming,8.0,8,2,7,84,120
programming,5.7,8,5,7,84,118
programming,7.1,6,5,21,92,142
programming,4.0,8,6,12,174,169
programming,9.2,9,4,10,87,81
creative,6.2,1,2,17,166,104
programming,7.1,9,2,10,174,121
meeting,6.5,2,0,7,30,81
meeting,8.7,1,2,15,129,72
planning,3.0,8,5,18,21,65
programming,7.0,8,0,17,185,132
meeting,6.8,4,0,9,92,46
planning,6.3,8,2,21,184,88
creative,9.6,7,1,11,122,71
creative,5.7,2,3,16,24,90
programming,8.2,5,5,7,122,99
programming,7.5,10,1,14,150,114
admin,8.9,4,2,9,196,42
planning,6.0,3,2,20,133,59
admin,5.9,1,1,21,150,63
admin,8.6,5,2,7,124,47
programming,7.6,10,5,16,156,116
creative,4.7,8,6,12,194,99
programming,6.2,9,0,7,41,100
programming,7.6,7,4,21,108,139
meeting,8.3,1,2,21,96,86
meeting,6.0,1,2,9,158,87
programming,3.0,1,1,11,121,167
programming,7.8,2,0,10,151,124
admin,5.2,1,1,13,33,39
programming,4.0,4,6,12,58,154
admin,3.0,10,5,18,41,33
programming,8.2,9,1,9,84,113
meeting,7.2,4,2,17,118,83
meeting,6.7,4,0,14,20,54
programming,9.1,7,5,14,197,132
programming,8.0,9,2,20,77,125
programming,9.4,7,5,8,198,114
programming,4.9,1,2,13,99,152
planning,6.9,1,2,20,119,58
programming,4.6,4,2,7,142,148
creative,6.7,4,4,8,173,107
programming,6.6,1,3,14,41,126
admin,7.9,6,0,18,80,36
creative,7.1,10,6,7,83,81
admin,7.9,2,4,8,147,56
meeting,8.1,5,3,18,108,65
meeting,10.0,8,5,7,30,48
programming,6.5,3,3,11,49,113
planning,5.6,9,3,13,51,46
creative,7.4,7,4,12,81,61
planning,5.8,9,0,12,55,42
programming,9.2,1,1,12,91,120
admin,6.6,5,3,14,82,38
planning,6.2,3,1,11,127,57
programming,6.3,4,1,21,50,128
programming,8.1,4,2,16,103,101
admin,6.8,7,1,13,141,40
admin,6.0,10,5,9,108,40
creative,9.5,8,5,15,151,96
programming,5.7,10,2,16,151,121
creative,7.1,5,0,9,62,63
programming,8.0,10,6,20,137,137
programming,4.6,7,0,20,38,143
programming,7.7,3,5,12,32,108
creative,5.4,3,6,9,94,92
admin,8.2,3,2,7,168,46
meeting,5.6,4,0,7,105,78
meeting,8.0,6,6,9,80,53
creative,8.7,5,6,10,198,79
meeting,8.3,8,3,20,160,84
creative,7.4,5,0,8,17,70
meeting,6.7,5,2,15,85,76
meeting,6.1,10,6,21,109,97
meeting,9.2,2,5,17,25,52
programming,6.0,5,3,14,163,129
admin,5.4,7,1,18,166,54
meeting,8.0,2,1,19,102,66
programming,5.8,6,1,9,15,106
creative,5.6,7,5,13,46,81
meeting,4.8,5,6,10,170,81
meeting,6.3,9,2,11,104,69
planning,6.9,4,1,10,183,64
admin,7.4,10,0,15,70,36
programming,8.4,1,1,17,178,142
planning,7.8,8,6,13,27,34
admin,6.7,8,4,19,120,36
programming,6.7,7,5,10,104,120
programming,7.8,8,4,19,25,89
creative,8.9,2,1,14,113,103
admin,7.2,3,6,8,188,60
meeting,6.3,9,1,13,174,78
creative,5.5,1,4,17,23,95
creative,4.8,8,6,7,112,102
programming,8.0,8,5,14,77,118
programming,7.9,7,5,19,39,87
programming,7.9,5,1,20,69,125
admin,6.8,4,5,18,62,45
programming,9.1,10,3,20,173,150
admin,6.3,10,6,19,167,57
creative,8.4,10,6,21,73,100
creative,6.9,10,5,12,23,68
programming,6.1,6,6,18,32,90
creative,7.9,1,4,11,185,94
programming,7.6,5,2,15,165,139
creative,7.5,4,4,15,131,91
programming,7.1,4,0,9,16,85
meeting,6.9,7,3,15,179,92
creative,10.0,9,2,19,19,70
programming,8.8,8,1,21,181,146
programming,8.1,8,6,19,111,115
admin,7.2,5,0,15,22,17
admin,8.5,6,0,8,170,48
admin,7.8,2,3,11,169,51
admin,7.0,3,2,17,136,57
meeting,6.5,5,0,8,57,56
programming,6.9,2,2,7,14,115
programming,3.0,3,2,13,70,163
programming,7.3,4,5,10,131,131
planning,6.3,6,0,11,99,41
admin,9.4,5,2,10,112,39
meeting,7.0,10,3,12,99,54
meeting,5.2,4,0,17,12,60
planning,6.9,2,3,8,33,41
programming,5.4,5,3,14,126,141
admin,7.7,5,2,10,107,28
meeting,7.4,7,2,14,171,67
admin,8.4,1,5,9,93,50
programming,5.8,4,6,18,128,129
creative,7.1,5,5,18,51,75
planning,5.0,8,0,17,157,68
admin,8.1,8,5,11,50,20
admin,7.8,1,1,18,91,35
planning,7.7,5,0,9,111,56
admin,7.0,10,3,18,157,55
programming,7.6,1,5,21,15,142
admin,9.4,1,5,19,131,46
admin,6.6,2,6,13,194,63
meeting,7.2,2,5,21,179,104
admin,5.4,9,2,9,34,38
planning,5.7,4,3,21,50,55
planning,7.1,3,5,18,178,71
meeting,8.7,1,4,14,12,62
programming,6.6,2,4,15,117,142
